0,1,2
12,324,43530
4,48,935455
17,36,175480
0,176,220192
16,80,66347
327,336,10098
20,132,74748
12,242,72855
0,206,139524
38,47,526180
17,51,238133
1,8,954365
9,472,17719
192,488,1642
6,145,80700
74,158,9920
479,481,8760
1,151,54400
12,253,2880
18,140,104880
21,25,277
6,163,91376
40,77,10545
22,31,85775
56,83,50005
9,25,281997
7,102,112664
9,54,146316
2,76,118144
18,22,147098
29,36,56434
40,70,99449
20,41,178849
27,73,48103
34,42,589774
15,32,156990
17,61,56715
6,44,221771
6,84,184573
6,425,11362
20,102,70034
2,127,35049
18,65,5964
3,351,33510
23,65,284007
2,30,455469
27,80,47777
0,94,103305
299,401,78
13,148,173134
184,436,2946
17,37,276138
3,214,61830
9,13,293815
5,10,717024
0,64,486198
1,102,53848
93,285,1794
0,27,1033195
2,46,217976
6,40,133545
8,40,149819
40,50,95626
13,55,968027
5,40,36300
8,28,480055
17,91,35975
14,62,39828
6,164,34866
20,28,51366
48,104,87168
24,30,582306
18,48,99873
9,65,295518
22,112,72700
178,241,11072
27,75,54235
13,52,202752
1,41,353125
12,26,485267
6,115,69472
23,50,96714
61,71,74906
7,77,31825
53,241,16362
28,97,289402
6,26,247613
2,129,206555
27,32,36048
36,149,41035
1,191,59931
14,37,161917
10,86,8400
36,91,54500
38,45,1276157
37,94,9259
6,274,35853
1,55,93844
440,442,10401
11,93,82598
18,54,6900
11,61,138389
0,90,307547
0,70,132912
16,51,149264
3,30,123024
0,102,215841
25,85,20412
9,11,346463
18,36,173476
23,78,76874
32,408,2479
6,23,596987
0,155,115098
11,206,37333
216,241,2726
7,94,67502
8,9,312508
16,30,514427
10,34,146547
25,46,162250
54,64,99462
36,167,7790
16,99,66745
0,154,96715
21,51,21760
8,38,196794
0,172,262594
36,54,70121
11,37,227424
16,62,45133
22,159,147049
42,52,52
19,147,77
16,89,37450
5,82,564
10,28,36304
20,157,76528
10,19,217410
36,424,21453
15,38,94363
27,61,55338
37,128,31746
19,156,161106
10,27,208266
10,89,30275
11,96,164403
303,308,7416
21,68,1233
9,67,50005
15,87,48292
20,60,56819
11,62,118540
482,483,1476
61,75,1424
2,90,76427
21,53,520085
27,41,125596
339,363,5871
30,36,44671
487,488,7077
15,39,56171
1,89,56675
17,138,88427
32,53,50005
184,417,3991
22,374,29895
291,303,34960
27,421,1643
24,49,50005
3,52,84330
372,426,11343
15,70,74586
17,86,70575
93,190,1091
18,39,287944
20,42,89060
32,91,22629
41,46,28712
8,109,21780
10,268,82224
26,33,199303
16,24,301235
1,122,10582
45,66,372439
2,213,21472
2,32,545485
36,278,41292
23,83,149604
0,37,336769
9,19,249551
4,72,101612
4,33,521559
2,123,1080
33,121,3790
11,40,219623
344,411,12236
19,28,282659
0,56,558990
43,72,36830
20,238,18
108,354,21394
23,132,27659
189,382,808
7,273,51578
17,40,137078
15,156,22355
1,70,248396
32,105,17537
237,376,2584
21,216,1254
0,32,577310
13,74,924403
37,51,102745
24,47,50005
2,254,96781
10,57,61304
20,24,245808
26,35,680973
7,60,266127
121,158,19270
11,202,49611
36,223,33
7,25,344723
15,131,5236
37,73,43486
74,437,5800
7,84,344035
36,116,102417
0,81,129111
48,494,15637
38,77,49697
0,128,83085
16,90,31442
4,258,29045
39,67,312509
3,296,61830
0,189,70972
1,213,16498
3,109,200736
9,49,237891
8,30,53687
29,30,503
11,17,165137
11,23,107750
34,59,633282
5,32,560038
6,37,269773
11,56,282198
25,62,25955
313,422,952
9,47,165130
4,9,654620
36,301,18524
21,23,372490
88,253,345
2,240,58254
1,109,64242
10,52,97904
41,50,41699
393,487,231
11,30,350785
20,94,100080
335,381,5244
334,392,600
5,200,85136
0,136,171783
4,44,212439
23,29,129654
7,71,149554
0,2,1510808
180,275,32760
1,119,186486
8,49,194967
36,60,1400
169,434,3051
9,58,78582
11,73,331887
1,233,10771
27,87,70530
106,189,6816
35,42,662084
17,151,54375
32,38,24378
25,50,145082
9,27,176829
9,193,78839
11,24,350692
8,68,4247
11,292,64173
0,260,84653
1,230,13694
331,451,1691
17,24,282406
27,190,42021
4,109,91179
16,85,11518
16,41,267743
