0,1,2
204,440,2
127,375,2
26,38,4
237,239,1
102,297,2
17,351,1
158,160,2
197,301,2
0,228,2
153,230,2
86,152,1
172,285,3
82,185,1
146,184,2
81,228,1
127,185,2
258,294,2
140,447,1
230,340,1
230,441,2
407,440,2
227,292,4
198,228,4
25,226,2
344,345,2
232,375,1
156,226,2
198,407,2
146,369,1
175,182,2
145,298,2
66,185,1
185,408,1
230,293,1
350,425,2
1,2,1
185,407,20
185,316,3
128,228,2
230,262,2
126,142,2
186,233,1
146,204,19
302,425,2
185,392,1
146,372,2
187,226,1
135,375,2
56,152,1
199,425,2
305,398,2
198,226,2
407,436,1
145,301,2
152,305,2
38,228,2
35,44,2
27,228,2
185,417,1
172,291,2
2,242,2
210,229,2
183,197,2
185,301,2
60,185,1
7,351,2
185,383,1
145,166,1
185,293,1
144,424,2
407,416,3
144,153,5
67,144,4
185,446,1
23,226,2
60,219,1
144,375,3
126,127,4
239,243,1
181,248,1
260,407,2
32,152,2
265,407,2
394,426,2
217,229,2
251,252,1
146,197,8
113,435,2
146,426,4
230,396,2
266,438,1
123,127,2
156,227,2
185,441,2
407,426,2
69,207,1
72,145,2
315,426,4
230,450,1
50,358,2
148,322,1
80,185,1
27,229,2
159,163,2
102,226,2
34,398,2
144,415,2
144,430,2
197,425,4
61,62,2
132,145,2
224,273,1
156,407,2
5,244,2
112,451,2
249,425,1
129,185,2
146,201,1
352,355,1
31,75,2
201,219,1
278,388,2
219,375,2
88,211,2
204,407,14
68,311,2
145,185,6
210,227,2
185,245,3
185,381,1
209,299,2
144,404,1
46,226,2
162,425,2
407,427,2
152,285,1
125,132,2
85,267,2
83,271,1
110,185,3
146,443,2
32,146,4
185,290,2
105,400,2
39,185,4
40,185,2
123,130,2
137,231,4
182,425,3
228,229,48
152,207,1
146,425,14
185,202,1
167,229,2
175,436,1
23,101,2
32,389,2
95,171,1
448,450,1
334,425,1
185,204,15
146,421,2
245,306,1
185,425,8
26,228,2
144,234,3
67,226,2
9,450,1
144,146,114
411,439,4
133,209,2
30,185,2
16,17,1
17,18,1
170,381,2
228,292,1
375,407,3
121,407,2
206,228,2
154,316,1
245,246,1
228,230,4
95,154,1
201,438,4
5,60,1
44,154,2
64,226,2
146,310,2
14,351,2
176,179,1
156,185,2
271,299,2
185,372,2
360,426,2
282,283,1
101,297,2
59,407,2
190,296,2
144,324,2
185,206,4
250,253,1
5,166,2
