0,1,2
1,2,1
3,5,2
2,6,2
5,6,2
8,11,1
7,14,1
8,15,1
15,16,1
20,21,1
7,22,1
28,29,2
27,30,2
32,36,2
35,36,2
26,38,4
37,43,2
35,44,2
52,53,1
57,58,2
57,59,2
5,60,1
56,60,1
61,62,2
6,67,2
58,69,1
51,70,1
68,70,1
50,71,1
28,75,2
40,78,2
77,78,1
79,80,1
80,82,1
81,83,1
82,83,1
37,87,2
85,88,2
86,89,1
88,89,2
67,90,2
6,98,2
74,99,2
86,99,1
84,100,1
23,101,2
24,102,2
45,103,2
5,107,4
67,108,4
88,113,2
88,115,2
39,116,2
115,116,2
100,118,1
114,119,2
59,123,2
61,123,2
69,124,1
61,127,3
123,127,2
110,128,2
111,129,2
123,130,2
61,131,2
123,131,2
127,131,2
125,132,2
123,134,2
130,134,2
136,140,1
138,141,2
126,142,2
127,142,2
96,143,2
3,144,2
6,144,2
32,144,4
36,144,4
52,144,1
53,144,1
67,144,4
92,144,2
109,144,2
124,144,1
127,144,2
135,144,2
72,145,2
91,145,1
132,145,2
134,145,3
144,145,9
3,146,2
6,146,2
13,146,2
32,146,4
52,146,1
53,146,1
57,146,2
58,146,1
59,146,2
62,146,4
109,146,2
121,146,2
125,146,2
127,146,2
132,146,2
134,146,1
142,146,2
4,147,2
144,148,4
146,148,4
52,149,2
54,149,1
93,149,2
93,151,2
146,151,3
149,151,2
12,152,1
29,152,2
32,152,2
37,152,2
38,152,2
56,152,1
57,152,2
58,152,2
60,152,1
84,152,1
86,152,1
87,152,2
88,152,3
89,152,3
100,152,1
111,152,1
113,152,1
139,152,2
144,152,4
54,153,1
149,153,3
150,153,1
41,154,2
42,154,2
44,154,2
48,154,2
76,154,2
101,154,2
103,154,2
104,154,2
105,154,2
145,154,4
146,154,5
5,156,4
120,156,2
143,156,2
5,157,4
144,157,4
146,157,2
5,158,4
144,158,4
145,158,2
157,158,4
139,159,2
144,161,1
144,163,2
145,163,1
146,163,1
159,163,2
85,164,2
88,164,2
5,166,2
144,166,2
145,166,1
146,166,3
139,167,2
152,167,2
158,168,2
166,168,2
5,169,4
156,169,2
167,169,2
168,169,2
78,172,1
117,172,2
146,172,2
152,172,1
171,172,1
39,173,2
77,173,1
171,173,1
172,173,23
146,174,4
172,174,2
11,175,2
16,175,2
17,175,3
144,175,6
145,175,2
146,175,4
154,175,3
177,178,2
11,181,2
15,181,2
