0,1,2
187,227,1
333,442,1
185,383,1
20,353,2
287,393,2
104,154,2
18,353,2
69,146,2
89,213,2
190,227,2
146,154,5
146,204,19
7,22,1
35,144,2
50,185,2
185,322,1
232,362,1
152,264,1
333,335,2
127,274,2
108,228,2
12,152,1
284,372,3
110,152,1
146,245,1
226,242,2
92,300,2
17,353,1
107,144,2
44,229,2
65,407,1
255,313,1
129,229,2
185,446,1
191,292,2
97,431,2
185,293,1
157,158,4
144,161,1
49,405,2
185,260,2
234,235,1
135,375,2
232,375,1
79,185,1
43,227,2
351,355,1
0,206,2
167,169,2
161,163,1
36,146,4
247,407,2
153,425,4
107,226,2
170,426,2
145,301,2
45,226,2
328,332,2
152,185,7
133,215,2
110,128,2
45,227,2
218,259,1
204,310,1
297,342,2
226,407,2
101,226,2
209,219,1
145,412,2
135,144,2
152,229,3
152,414,1
2,185,1
37,152,2
144,326,2
382,383,3
197,425,4
13,146,2
185,250,1
124,146,1
98,226,2
146,334,2
111,185,3
204,408,2
270,394,2
235,443,1
291,401,2
264,414,1
127,215,2
205,206,2
92,302,2
96,407,2
196,207,2
185,194,2
200,219,1
226,381,2
180,228,1
153,351,1
46,106,2
204,363,2
360,361,2
134,303,1
185,207,5
59,407,2
185,285,2
192,204,2
34,436,2
277,425,1
48,421,2
185,428,2
185,305,4
162,237,2
67,226,2
278,316,2
33,185,2
79,232,1
230,396,2
297,381,2
216,310,2
160,294,2
175,185,2
407,417,1
405,425,2
83,232,1
53,146,1
127,230,2
61,127,3
183,407,6
314,437,1
217,227,2
204,228,2
61,247,1
198,226,2
144,151,3
144,154,1
297,316,1
63,412,2
219,297,1
182,228,2
144,317,1
146,443,2
27,228,2
145,158,2
251,252,1
146,299,2
180,229,1
124,127,1
242,425,4
146,323,1
146,305,4
296,297,4
252,254,1
125,145,2
204,440,2
204,211,2
152,269,2
226,296,2
88,408,2
115,204,2
63,227,4
145,425,11
152,389,2
173,434,1
142,348,2
154,407,4
319,320,2
12,204,2
145,207,3
156,227,2
152,305,2
156,158,4
201,294,1
227,242,2
152,227,5
68,311,2
152,276,1
96,97,2
185,289,2
145,146,19
154,294,4
73,443,2
135,204,1
150,284,1
84,100,1
152,232,2
88,211,2
204,216,2
154,276,1
185,449,2
190,285,2
26,228,2
350,425,2
185,314,1
159,229,2
170,204,2
112,261,2
211,426,2
123,364,2
175,181,6
93,407,1
344,345,2
127,375,2
145,407,2
52,153,2
350,365,2
214,227,2
98,192,2
142,146,2
89,204,2
25,226,2
88,435,2
239,354,1
156,226,2
304,399,1
128,444,2
185,272,1
209,215,2
185,312,1
165,370,2
47,289,2
274,343,2
146,375,3
146,182,3
28,29,2
173,369,1
192,390,2
121,228,2
144,421,2
289,413,2
346,425,1
97,228,2
7,352,2
177,180,1
95,152,1
201,219,1
108,204,2
22,353,1
146,272,1
172,373,2
128,228,2
132,407,2
61,204,2
126,219,2
152,189,1
115,227,2
121,229,2
34,398,2
93,185,1
