0,1,2
4768,7204,0.166667
6749,2989,1.0
627,10457,0.4
6550,11894,0.142857
14123,2171,0.333333
13519,10941,0.2
16044,14675,4.15
13738,9372,0.333333
16219,6338,0.285714
1134,10781,0.333333
8132,4126,0.111111
4609,10701,0.5
4650,14549,1.51905
13786,14942,1.36667
7992,3840,0.166667
11273,1470,0.142857
15752,4152,0.2
6706,12718,0.392857
1853,13159,0.25
3720,9352,0.5
3328,7525,0.125
8058,15583,0.333333
280,121,0.5
10625,12715,0.5
12095,11985,2.25
13107,4440,0.166667
6682,6801,0.25
13422,10145,0.5
9533,6061,1.0
12140,1608,0.5
15234,10888,2.0
5935,9428,0.111111
11136,252,0.2
5827,7193,0.666667
11315,5307,0.2
948,1050,1.0
5334,14709,0.142857
9229,4429,0.333333
287,4148,0.142857
12258,15767,0.4
4230,5825,0.366667
6191,11014,0.2
2530,3675,0.25
4564,12115,1.66667
10454,8874,0.5
14484,1557,3.5
14551,6364,0.1
2478,15500,0.2
1570,8888,0.5
2955,8443,0.333333
10865,6975,0.5
1158,3538,0.125
10261,13733,0.166667
7986,2903,0.5
90,10886,0.2
15367,10212,0.833333
5729,5806,0.333333
11016,15818,0.583333
4332,2881,0.5
13656,7881,0.2
13494,300,0.5
5887,2329,0.333333
2592,6124,0.166667
5283,5322,0.2
8772,9035,0.333333
2459,8334,0.333333
7666,1314,1.0
1054,4603,1.0
7649,6108,0.45
10947,14202,1.0
431,2413,0.533333
10339,9041,0.1
7697,10415,0.1
3737,8447,2.0
16149,11086,0.2
1949,13888,0.333333
12799,13026,0.5
12095,8832,0.333333
752,12828,0.142857
5288,15983,0.1
12763,3175,0.25
7683,1552,1.0
7399,3139,1.16667
4120,2484,0.166667
1254,9748,0.125
5106,5827,0.111111
8280,7970,0.125
15274,11764,0.533333
13610,1912,0.25
3998,13290,0.166667
459,13547,0.1
563,13974,1.83333
9514,9369,0.166667
5008,7171,0.7
8807,10727,0.75
8645,3596,1.0
5207,9345,1.5
5215,13458,0.166667
4688,6507,0.666667
5750,1673,0.5
12209,14339,1.5
5325,5012,0.472222
4084,11710,0.666667
4521,4735,0.436111
13323,14120,0.1
8570,3099,0.333333
1648,4619,0.166667
11000,287,0.5
13238,4011,0.5
12447,4878,0.0833333
9735,7131,0.0909091
9114,4812,0.25
5424,12812,1.5
4196,11342,4.2
5383,4537,0.5
6476,14789,1.0
8386,4056,0.0909091
14583,5546,0.833333
1857,1463,0.333333
14408,14055,0.833333
16259,12279,0.25
16140,8923,0.142857
7446,6065,0.5
12810,4601,2.41026
14894,9537,0.242857
906,1528,1.5
15434,825,0.166667
3979,1941,0.5
2273,15385,0.25
8055,4892,1.0
10981,5015,0.277778
11447,8747,0.166667
2728,3375,0.125
459,15201,2.0
2700,14703,1.0
4287,12567,0.333333
6894,15714,0.333333
10133,10548,1.0
10268,13178,1.41667
9959,15731,0.333333
8059,11468,0.142857
5438,13305,0.2
6399,12220,0.333333
5012,16101,0.236111
12061,8583,0.2
6742,12034,0.166667
270,4096,0.142857
6104,5756,0.2
8030,4442,1.0
3151,5015,0.111111
4485,868,0.2
3827,1926,0.166667
4452,9701,0.25
7101,4751,0.25
7806,1554,1.0
1022,14585,0.333333
6049,5793,0.333333
1294,6787,0.1
5599,11882,0.5
7925,9934,0.5
12669,11971,0.5
15265,3055,0.2
13412,3846,0.333333
15381,3202,0.2
15036,9827,0.142857
9139,4040,0.5
15584,2711,1.0
15913,12087,0.342857
9548,9617,0.25
2946,9803,0.125
10238,7075,0.166667
4621,13991,2.5
15419,3285,0.5
13617,3556,0.166667
8764,9708,0.142857
9537,15454,0.211111
2783,13181,0.5
10058,12092,0.125
9386,6206,0.285714
5331,1931,0.333333
7805,1997,0.0909091
162,11535,1.0
970,5572,1.33333
2049,1885,0.5
2383,10599,0.166667
14202,14271,0.111111
11625,2591,1.0
11487,9443,0.25
9151,9416,0.166667
7486,10186,1.0
13318,783,0.333333
4606,5464,0.5
15414,4636,0.75
7344,4752,0.125
3932,9506,0.25
3575,776,0.5
4404,13116,0.0714286
6584,5166,0.428571
11547,2839,0.2
16237,8302,0.333333
14293,6479,0.316667
2273,7727,0.5
740,7861,0.111111
1472,11288,1.5
6,7540,1.0
3357,8203,0.0769231
15019,6442,0.666667
3209,7002,0.2
187,12467,0.1
12535,9977,0.25
879,12516,0.142857
7248,13481,0.111111
10088,8625,0.5
11533,13273,2.0
580,16060,1.0
1309,10320,0.25
3443,9558,0.666667
6764,4382,1.16667
16019,4627,0.5
1811,3045,0.166667
3986,12233,0.666667
9063,5776,0.5
9373,1832,1.0
11516,225,0.25
36,10982,0.666667
1207,16252,0.333333
2510,10814,0.5
3644,5626,0.142857
10457,2000,0.366667
7564,913,1.0
931,7966,0.25
14777,3681,0.333333
12699,6588,1.0
15733,15968,0.0909091
4526,7246,0.25
3049,1431,0.5
2141,12804,0.125
93,6365,1.0
11683,11177,0.333333
14401,331,0.833333
11011,12506,0.5
11716,3724,0.166667
14541,3523,0.5
14781,5609,0.142857
8479,11545,0.142857
13774,8906,0.333333
11704,15996,0.85
8210,8943,0.111111
2778,14671,0.2
14897,8330,0.166667
5079,2127,0.333333
3792,3716,0.5
3740,9196,0.125
1227,2876,0.142857
7109,14292,0.666667
4596,3376,0.333333
1384,3723,0.0909091
4431,13191,0.166667
4564,8449,1.0
7997,4471,0.333333
8756,4947,0.20202
4548,5451,1.0
5561,6850,0.242857
1358,9251,0.25
2368,563,2.33333
7656,7959,0.5
11677,6706,1.70357
4327,4210,0.833333
12221,5595,0.2
10379,8030,1.33333
3898,13588,0.5
7758,1121,0.166667
11198,6625,0.333333
6759,15118,0.25
14754,6062,0.5
8393,1866,0.333333
6258,1303,0.333333
3869,12029,0.2
191,1555,1.0
879,4679,0.2
13519,6610,0.2
1227,10617,0.666667
8619,215,0.2
4861,970,1.0
8896,12786,0.125
12562,8746,0.25
7489,4794,0.166667
4609,1695,1.5
8511,6364,0.1
2854,2999,0.25
5631,12021,1.5
4327,7539,0.25
13675,15451,1.16667
5361,9117,0.166667
10941,10622,0.0833333
9285,1571,0.333333
2047,6488,1.16667
14025,13185,0.333333
16174,6796,0.5
9965,5737,0.194444
8013,10644,0.416667
207,3813,0.5
207,15810,0.2
9647,14883,0.142857
13266,14403,0.5
3575,1776,1.0
5592,14917,0.2
3940,10995,0.833333
10801,12803,0.125
2115,15448,0.2
1506,11089,0.125
15832,12102,1.0
12400,12934,0.2
14068,15079,0.333333
15867,2308,0.166667
8,10215,1.0
10522,4025,0.5
6649,13497,0.5
6197,6744,0.583333
12064,4346,0.333333
14704,9462,1.0
6310,4038,1.0
9972,1233,0.2
13104,1107,0.333333
7040,8983,0.2
7475,8700,0.5
7539,702,1.0
11860,7871,0.333333
14785,7019,0.25
4414,9604,0.333333
3657,1367,1.3421
15597,11679,0.142857
9896,11783,0.166667
6315,6681,1.66667
162,9843,1.83333
10178,3194,0.125
5887,10034,1.33333
4028,15160,1.33333
3572,10516,1.0
2858,12803,0.125
13409,11263,0.125
15750,7898,0.25
5682,12872,0.4
6056,7202,0.5
14697,5199,0.5
9333,3571,0.0909091
13675,3589,0.2
4042,9918,1.0
15034,10316,0.125
14511,168,0.5
4821,2216,3.83333
14754,11721,0.125
6196,16049,0.25
10410,1737,0.142857
1769,5382,0.333333
286,2073,0.142857
1357,9707,0.333333
6994,3786,0.111111
9570,14065,0.111111
7805,9331,0.142857
1193,15347,1.83333
1881,4920,0.166667
1613,15971,0.142857
12858,8366,0.5
11790,6961,0.333333
9184,14036,0.25
12780,3423,1.19534
6971,7790,0.5
10497,141,1.0
13777,8307,0.111111
13819,11942,0.5
