0,1,2
9823,14653,0.458333
3461,13554,0.142857
10690,15405,0.125
6710,13568,0.111111
5682,3448,0.311111
11710,3019,0.979433
8458,729,0.2
4735,15789,1.0
4259,8653,1.0
13689,14548,0.25
13952,14320,0.833333
9400,15514,0.142857
12095,6093,0.5
16150,2006,0.866667
435,11684,0.25
14536,10840,2.2
10361,13647,1.82857
15401,8293,0.333333
2477,578,0.125
16071,4199,0.25
5057,3187,0.285714
4957,5344,0.333333
4968,2773,0.125
3971,3586,0.5
12754,12702,0.5
10351,11089,0.125
12163,12527,0.142857
3327,11545,0.142857
186,5237,0.333333
4621,7640,0.333333
15923,3231,0.2
2516,8457,0.5
903,9525,2.25
9876,7806,0.333333
8269,16229,0.5
12652,8070,0.666667
14031,3494,0.333333
12041,66,2.33333
11710,7401,0.652413
16019,16242,0.2
4717,9937,2.25
7352,16008,1.64286
6279,5013,0.5
14833,6152,0.0714286
1889,10087,0.2
2190,1342,0.5
2469,13408,1.0
14410,6451,0.25
13569,8102,0.291667
14277,13338,0.5
11891,3673,0.111111
12781,4058,0.5
9997,7059,0.5
6445,4055,0.5
15472,11300,1.0
12441,11617,0.25
16202,9375,0.25
1088,12186,0.333333
9386,4438,1.50119
9537,10608,0.1
6780,7470,0.333333
5003,6190,2.0
5849,6344,0.25
12602,2805,0.0714286
14880,3363,0.2
10855,6472,1.83333
5862,10954,0.2
4042,8297,0.285714
4148,1878,0.309524
4870,5502,0.333333
3926,7388,0.25
1771,9422,0.25
12286,5755,0.333333
13385,14414,0.125
9317,15825,1.5
4940,2805,0.0714286
15870,1867,0.583333
10105,8250,0.111111
6473,4994,0.166667
10781,6452,0.2
1857,15043,0.309524
3885,3564,0.25
8739,9092,0.366667
16166,1015,0.5
3417,12728,0.25
10644,12533,0.166667
3383,374,0.285714
5404,5982,0.25
4453,5096,0.333333
10141,8846,0.2
7086,1589,0.333333
7592,3702,0.25
4430,16152,0.25
2673,8156,0.166667
2994,10833,0.2
10406,14671,0.25
14740,15113,1.0
13843,5780,0.166667
