0,1,2
296,37,0.7
509,508,0.33333
409,142,0.33333
438,431,0.052632
483,482,1.0
371,368,0.25
430,428,0.052632
182,178,0.25
484,176,0.5
267,61,0.25
179,178,0.25
133,132,0.33333
189,183,0.125
224,103,0.14286
211,210,0.5
413,411,0.25
190,189,0.125
353,352,0.5
435,434,0.052632
437,429,0.052632
423,422,0.5
445,433,0.052632
426,425,0.5
443,434,0.052632
189,188,0.125
127,64,0.5
518,6,0.5
480,479,0.5
391,390,0.5
204,15,0.5
503,501,0.2
182,181,0.25
552,550,0.14286
187,183,0.125
455,454,0.33333
485,484,0.5
160,31,0.33333
274,273,0.5
456,454,0.33333
206,75,0.25
439,427,0.052632
249,248,0.25
169,23,0.58333
281,280,0.5
224,100,0.14286
414,116,0.33333
405,56,0.16667
441,437,0.052632
434,78,0.052632
270,60,0.5
225,223,0.14286
301,300,0.33333
143,141,0.125
405,45,0.16667
146,145,0.125
444,442,0.052632
437,436,0.052632
523,69,0.2
551,10,0.14286
294,293,0.25
157,156,0.5
131,130,0.33333
144,143,0.125
147,140,0.125
361,142,0.33333
213,2,0.2
442,437,0.052632
223,101,0.14286
488,486,0.25
440,429,0.052632
445,427,0.052632
547,26,0.33333
299,86,0.33333
463,462,0.2
343,342,0.33333
439,434,0.052632
417,342,1.0
335,334,1.0
185,184,0.125
439,436,0.052632
432,430,0.052632
275,17,0.8333299999999999
525,95,1.0
436,433,0.052632
461,96,0.2
123,0,0.5
457,456,0.33333
264,61,0.25
226,100,0.14286
500,498,0.2
485,176,0.5
404,56,0.16667
445,435,0.052632
191,183,0.125
408,407,0.5
478,15,0.5
329,328,1.0
291,290,0.5
340,338,0.5
227,223,0.14286
531,488,0.25
196,33,0.33333
395,177,0.14286
