0,1,2
121,11,0.5
122,121,0.5
124,64,0.5
126,125,0.5
126,21,0.5
127,64,0.5
129,59,0.8333299999999999
133,132,0.33333
135,134,0.5
136,135,0.5
138,137,0.5
139,137,0.5
143,141,0.125
144,141,0.125
145,142,0.125
145,143,0.125
147,141,0.125
147,142,0.125
147,143,0.125
147,146,0.125
148,141,0.125
148,146,0.125
152,151,0.25
153,151,0.25
153,152,0.25
154,152,0.25
155,151,0.25
157,13,0.5
157,156,0.5
160,159,0.33333
160,31,0.33333
170,169,0.25
170,109,0.25
171,109,0.25
171,23,0.25
172,169,0.33333
172,109,0.33333
174,173,1.0
177,82,0.14286
180,178,0.25
181,178,0.25
181,179,0.25
182,179,0.25
182,180,0.25
186,184,0.125
186,185,0.125
188,183,0.125
188,184,0.125
189,183,0.125
190,184,0.125
190,187,0.125
190,188,0.125
191,184,0.125
191,186,0.125
192,22,1.25
197,33,0.33333
197,196,0.33333
200,93,1.0
202,106,0.5
205,20,0.8333299999999999
206,73,0.25
206,75,0.25
207,206,0.25
213,6,0.2
213,2,0.2
214,6,0.2
214,3,0.2
214,2,0.2
217,13,0.33333
219,217,0.33333
223,100,0.78571
224,113,0.14286
225,223,0.14286
226,224,0.14286
226,225,0.14286
227,224,0.14286
227,225,0.14286
228,100,0.14286
229,102,0.14286
230,223,0.14286
230,229,0.14286
232,231,0.33333
233,231,0.33333
237,235,0.25
237,48,0.25
238,235,0.25
243,242,0.5
244,243,0.5
254,55,0.5
255,60,0.5
265,264,0.25
265,61,0.25
266,264,0.25
267,264,0.25
274,273,0.5
277,223,0.33333
281,280,0.5
289,43,0.5
290,108,0.5
291,290,0.5
293,292,0.75
293,95,0.75
294,95,0.25
295,293,0.25
296,86,0.7
297,86,0.33333
298,297,0.33333
300,177,0.33333
301,177,0.33333
305,302,0.25
305,304,0.25
306,305,0.25
308,307,0.5
313,115,0.5
314,115,0.5
314,313,0.5
315,115,1.0
316,115,0.2
316,114,0.2
317,114,0.2
318,316,0.2
324,322,0.25
326,324,0.25
326,325,0.25
329,328,1.0
333,331,0.5
340,338,0.5
347,205,0.33333
349,34,0.5
349,348,0.5
355,354,0.25
356,354,0.25
357,356,0.25
359,358,1.0
360,67,0.33333
360,106,1.0
362,361,2.3333
363,360,1.0
366,365,0.33333
371,370,0.25
373,36,0.2
382,309,0.5
383,66,0.5
384,23,0.5
391,389,0.5
392,50,0.14286
394,393,0.14286
394,26,0.14286
394,50,0.14286
395,393,0.14286
396,42,1.0
398,397,0.25
400,398,0.25
401,398,0.25
404,402,0.16667
405,45,0.16667
407,62,0.5
411,22,0.25
411,192,0.25
413,192,0.25
413,412,0.25
415,414,0.33333
419,418,0.33333
421,418,0.33333
421,420,0.33333
423,1,1.5
429,428,0.38597
430,428,0.052632
431,427,0.052632
431,78,0.052632
432,78,0.052632
433,427,0.052632
433,78,0.052632
433,428,0.052632
433,429,0.052632
434,78,0.052632
434,428,0.052632
435,78,0.052632
435,429,0.052632
435,434,0.052632
436,427,0.052632
436,428,0.052632
436,430,0.052632
436,432,0.052632
436,433,0.052632
436,434,0.052632
437,433,0.052632
438,427,0.052632
438,432,0.052632
440,428,0.052632
440,430,0.052632
441,427,0.052632
441,78,0.052632
441,428,0.052632
441,436,0.052632
441,438,0.052632
441,439,0.052632
442,430,0.052632
442,431,0.052632
442,435,0.052632
443,430,0.052632
443,433,0.052632
443,435,0.052632
443,436,0.052632
443,437,0.052632
443,438,0.052632
443,441,0.052632
444,427,0.052632
444,428,0.052632
444,429,0.052632
444,430,0.052632
444,434,0.052632
444,435,0.052632
444,442,0.052632
445,427,0.052632
445,429,0.052632
445,431,0.052632
445,433,0.052632
445,436,0.052632
445,437,0.052632
445,442,0.052632
456,454,0.33333
457,454,0.33333
457,456,0.33333
461,460,0.2
461,96,0.2
462,96,0.2
462,37,0.2
465,325,0.25
466,5,0.25
466,325,0.25
466,465,0.25
471,470,0.5
474,473,0.5
476,475,1.0
485,176,0.5
488,486,0.25
495,28,0.25
496,495,0.25
496,28,0.25
497,496,0.25
502,498,0.2
502,501,0.2
503,498,0.2
503,502,0.2
505,504,0.5
509,155,0.33333
510,508,0.33333
510,509,0.33333
511,104,0.25
513,29,0.25
523,71,0.2
523,522,0.2
524,71,0.2
524,69,0.2
525,95,1.0
528,527,0.5
530,486,0.25
531,529,0.25
542,37,0.33333
546,81,0.33333
548,177,0.33333
550,549,0.14286
550,10,0.14286
552,10,0.14286
552,9,0.14286
553,10,0.14286
554,549,0.14286
556,555,1.0
558,77,0.2
559,77,0.2
559,558,0.2
565,562,0.33333
572,571,1.0
573,571,1.0
119,118,1.0
166,165,1.0
168,167,1.0
181,180,0.25
189,184,0.125
199,198,1.0
218,13,0.33333
226,100,0.14286
227,100,0.14286
228,103,0.14286
237,236,0.25
248,6,0.25
271,60,0.5
275,90,0.33333
283,52,0.33333
303,302,0.25
309,308,0.5
393,26,0.14286
401,399,0.25
408,62,0.5
428,78,0.052632
442,78,0.052632
442,433,0.052632
445,441,0.052632
466,464,0.25
469,468,0.5
473,24,0.5
491,490,1.0
512,104,0.25
529,486,0.25
535,534,0.33333
543,541,0.33333
570,569,1.0
