0,1,2
553,549,0.14286
347,34,0.33333
552,9,0.14286
184,183,0.125
281,280,0.5
191,185,0.125
252,251,1.0
442,430,0.052632
289,44,0.5
437,435,0.052632
539,3,0.8333299999999999
146,145,0.125
324,323,0.25
439,430,0.052632
440,439,0.052632
156,13,0.5
193,16,0.5
434,431,0.052632
227,225,0.14286
189,188,0.125
380,379,0.5
431,429,0.052632
403,45,0.16667
172,109,0.33333
191,184,0.125
249,6,0.25
444,436,0.052632
462,37,0.2
122,121,0.5
436,432,0.052632
411,22,0.25
180,178,0.25
413,192,0.25
515,514,1.0
531,529,0.25
392,82,0.14286
465,464,0.25
171,170,0.25
439,433,0.052632
188,186,0.125
316,115,0.2
564,563,0.33333
554,549,0.14286
188,183,0.125
438,437,0.052632
394,393,0.14286
182,178,0.25
462,460,0.2
352,54,0.5
458,18,0.33333
559,557,0.2
553,552,0.14286
191,190,0.125
214,3,0.2
171,169,0.25
438,427,0.052632
553,9,0.14286
353,54,0.5
445,427,0.052632
344,341,0.33333
388,47,1.5
440,438,0.052632
513,511,0.25
548,177,0.33333
148,145,0.125
441,427,0.052632
510,509,0.33333
310,2,0.25
319,114,0.2
355,354,0.25
393,50,0.14286
143,140,0.125
442,439,0.052632
203,106,0.5
554,10,0.14286
147,145,0.125
238,237,0.25
441,436,0.052632
155,152,0.25
189,185,0.125
138,137,0.5
461,460,0.2
552,549,0.14286
472,471,0.5
186,183,0.125
539,2,1.3333
466,464,0.25
444,440,0.052632
157,13,0.5
325,5,0.25
573,571,1.0
335,334,1.0
227,100,0.14286
444,435,0.052632
343,341,0.33333
277,103,0.33333
465,5,0.25
190,185,0.125
502,499,0.2
177,27,0.33333
300,177,0.33333
174,173,1.0
393,177,0.14286
148,144,0.125
437,427,0.052632
227,103,0.14286
136,134,0.5
508,155,0.33333
444,442,0.052632
437,436,0.052632
439,438,0.052632
316,114,0.2
223,102,0.14286
441,433,0.052632
147,144,0.125
267,266,0.25
492,38,1.0
394,392,0.14286
227,223,0.14286
497,495,0.25
554,550,0.14286
434,78,0.052632
445,436,0.052632
511,104,0.25
439,436,0.052632
444,443,0.052632
293,95,0.75
443,431,0.052632
413,412,0.25
241,63,0.5
249,19,0.25
395,393,0.14286
414,116,0.33333
228,101,0.14286
126,125,0.5
305,302,0.25
530,486,0.25
436,78,0.052632
371,370,0.25
383,66,0.5
159,31,0.33333
189,186,0.125
471,470,0.5
463,37,0.2
155,151,0.25
236,235,0.25
565,564,0.33333
177,82,0.14286
474,24,0.5
548,547,0.33333
499,498,0.2
495,494,0.25
147,140,0.125
172,23,0.33333
289,43,0.5
344,343,0.33333
444,441,0.052632
440,78,0.052632
233,232,0.33333
553,551,0.14286
164,91,0.33333
277,223,0.33333
261,260,1.0
253,55,0.5
433,429,0.052632
476,475,1.0
160,159,0.33333
530,488,0.25
391,389,0.5
299,86,0.33333
566,76,0.5
395,26,0.14286
395,394,0.14286
522,71,0.2
496,494,0.25
325,322,0.25
192,22,1.25
444,429,0.052632
446,427,0.33333
441,438,0.052632
421,420,0.33333
440,435,0.052632
443,439,0.052632
373,37,0.2
558,77,0.2
560,557,0.2
436,431,0.052632
188,187,0.125
353,352,0.5
423,1,1.5
459,7,0.5
405,402,0.16667
254,55,0.5
211,210,0.5
327,99,1.0
434,428,0.052632
233,231,0.33333
445,432,0.052632
560,49,0.2
190,183,0.125
230,103,0.14286
484,176,0.5
205,34,0.8333299999999999
461,96,0.2
185,184,0.125
501,499,0.2
529,486,0.25
443,428,0.052632
148,143,0.125
143,142,0.125
371,368,0.25
537,534,0.33333
426,425,0.5
483,482,1.0
445,433,0.052632
448,447,1.0
141,140,0.125
224,113,0.14286
227,226,0.14286
296,84,0.2
188,185,0.125
438,430,0.052632
212,45,0.5
163,110,1.0
356,51,0.25
561,92,0.5
373,36,0.2
406,403,0.16667
300,26,0.33333
395,82,0.14286
127,125,0.5
400,398,0.25
190,189,0.125
538,41,1.0
445,78,0.052632
226,223,0.14286
369,368,0.25
436,434,0.052632
369,302,0.25
191,188,0.125
366,4,0.33333
237,48,0.25
430,78,0.052632
299,298,0.33333
442,427,0.052632
317,114,0.2
226,225,0.14286
436,435,0.052632
460,96,0.2
317,316,0.2
293,292,0.75
506,505,0.5
542,541,0.33333
164,79,0.8333299999999999
396,42,1.0
128,59,0.33333
551,9,0.14286
556,555,1.0
445,442,0.052632
234,232,0.33333
468,467,0.5
214,213,0.2
441,435,0.052632
318,316,0.2
230,102,0.14286
190,187,0.125
218,217,0.33333
294,95,0.25
393,392,0.14286
406,402,0.16667
401,397,0.25
248,2,0.25
465,325,0.25
