0,1,2
228,256,5
225,165,2
181,187,1
57,2,5
12,76,6
8,212,4
19,73,4
268,43,25
149,201,3
70,89,2
142,134,2
224,206,1
13,11,1
281,237,1
3,153,2
89,90,1
133,98,1
171,153,2
186,159,1
141,203,2
124,159,1
11,179,4
208,47,1
68,49,3
83,186,1
239,171,2
212,216,12
92,140,1
177,199,1
19,1,6
83,3,3
60,32,3
244,188,1
247,136,3
118,147,1
153,43,15
74,22,2
271,272,16
83,156,1
231,233,7
58,32,5
115,21,1
240,35,1
49,51,1
148,85,2
197,102,3
192,194,6
244,147,3
100,97,4
99,18,1
217,72,1
91,3,2
200,1,3
274,233,1
89,73,1
186,43,6
126,114,3
105,32,1
89,6,6
225,124,1
149,198,2
193,11,7
205,95,1
249,96,1
130,11,5
132,131,1
11,174,10
137,11,1
255,251,3
51,47,1
37,49,1
173,189,1
109,85,2
238,128,1
121,123,3
69,12,1
149,97,1
116,161,4
6,1,2
186,220,3
100,131,3
236,218,19
1,7,1
163,43,29
158,199,1
119,12,3
120,97,2
89,13,3
130,131,3
1,178,4
116,158,3
97,185,1
194,96,4
40,42,4
89,131,3
87,189,1
171,231,4
238,89,2
0,129,16
209,43,4
135,140,2
12,208,5
146,138,1
205,77,1
68,20,1
197,84,2
141,119,1
254,176,2
136,2,8
17,3,19
219,118,1
244,233,4
17,72,3
61,62,4
136,11,3
130,92,1
213,0,1
181,43,10
100,85,5
262,232,6
178,43,31
5,73,11
94,206,7
88,59,4
136,83,1
75,72,1
216,136,3
260,171,1
61,48,2
203,43,7
13,3,5
66,8,4
83,179,1
198,122,5
260,11,5
174,276,8
11,180,6
85,155,2
35,43,7
115,112,7
2,167,2
18,16,2
277,268,1
44,32,7
134,5,1
112,214,1
83,151,2
116,185,6
217,130,1
178,179,1
14,23,1
13,12,3
83,157,2
167,155,1
217,131,3
128,117,14
49,34,4
186,198,2
107,121,2
83,141,1
216,189,1
196,43,8
85,187,1
150,158,1
52,13,2
7,3,2
228,254,1
4,11,3
41,83,4
66,86,2
30,65,3
76,73,4
102,5,1
196,236,8
51,8,2
97,118,1
148,215,1
83,188,1
175,226,2
33,111,1
116,152,2
255,11,1
20,11,5
202,147,1
183,171,3
97,144,1
168,275,4
208,5,2
64,83,2
177,218,8
171,263,1
115,102,1
103,43,4
132,71,4
13,74,2
26,27,1
280,276,15
156,161,1
190,181,1
258,183,1
16,43,10
231,154,1
213,86,1
277,272,22
71,92,1
94,118,2
147,218,1
122,102,3
66,97,1
0,73,1
118,124,4
6,5,2
246,136,3
129,73,3
