0,1,2
15,0,6
101,0,4
112,0,11
115,0,5
134,0,7
135,0,1
139,0,3
140,0,3
192,0,1
194,0,2
213,0,1
240,0,2
6,1,2
19,1,6
20,1,3
62,1,3
71,1,3
83,1,25
86,1,1
88,1,1
97,1,2
113,1,1
120,1,2
169,1,4
171,1,10
192,1,7
193,1,7
200,1,3
202,1,2
203,1,6
211,1,11
219,1,1
223,1,4
224,1,2
238,1,3
247,1,27
256,1,7
4,2,4
6,2,4
7,2,1
10,2,4
62,2,1
81,2,2
89,2,8
90,2,6
91,2,2
92,2,2
100,2,1
105,2,1
113,2,1
136,2,8
215,2,1
223,2,3
238,2,1
1,3,48
7,3,2
8,3,2
13,3,5
40,3,2
51,3,1
66,3,1
75,3,3
83,3,3
89,3,6
91,3,2
98,3,3
101,3,4
107,3,1
118,3,4
124,3,1
136,3,6
148,3,1
202,3,1
203,3,3
212,3,1
8,4,1
58,4,1
102,4,1
200,4,2
29,5,2
51,5,4
58,5,9
90,5,1
98,5,10
102,5,1
104,5,12
107,5,7
109,5,1
134,5,1
200,5,2
208,5,2
0,6,3
8,6,1
30,6,10
59,6,1
81,6,1
106,6,4
66,7,7
202,7,2
62,8,6
66,8,4
104,8,2
192,8,5
194,8,3
4,9,1
114,9,4
125,9,7
134,9,12
4,10,1
53,10,1
99,10,3
102,10,1
136,10,1
0,11,2
2,11,48
4,11,3
10,11,2
19,11,5
20,11,5
66,11,5
85,11,25
115,11,2
118,11,2
124,11,7
128,11,13
131,11,1
136,11,3
183,11,3
193,11,7
200,11,5
210,11,15
225,11,3
238,11,2
246,11,27
256,11,7
257,11,1
260,11,5
9,12,5
10,12,6
13,12,3
52,12,1
58,12,12
69,12,1
101,12,7
113,12,1
119,12,3
136,12,1
137,12,2
200,12,3
7,13,1
9,13,5
10,13,10
53,13,1
70,13,2
126,13,1
131,13,1
133,13,1
192,13,1
58,14,1
89,14,2
215,14,1
240,15,1
17,16,1
18,16,2
41,16,1
69,16,6
62,17,2
14,18,5
14,19,6
18,19,1
26,19,2
61,19,1
64,19,1
67,19,1
120,19,1
14,20,4
26,20,4
31,20,1
51,20,1
54,20,1
56,20,1
57,20,2
68,20,1
70,20,3
82,20,1
120,20,1
238,20,1
25,21,3
55,21,3
58,21,5
69,21,11
100,21,2
17,22,7
40,22,3
42,22,1
47,22,1
49,22,3
52,22,4
57,22,1
67,22,3
74,22,2
81,22,2
89,22,1
208,22,1
240,23,2
5,24,1
14,24,2
82,24,1
208,24,2
14,25,2
58,26,2
89,26,1
239,26,1
109,27,1
133,27,1
149,27,2
26,28,2
30,28,1
41,28,1
90,28,1
26,29,1
26,30,11
89,30,1
120,30,1
29,31,3
65,31,7
29,32,14
41,32,3
51,32,3
60,32,3
105,32,1
204,32,1
5,33,3
12,33,3
26,33,1
76,33,1
17,34,1
46,34,1
54,34,4
55,34,1
75,34,4
82,34,1
215,34,1
7,35,3
26,35,2
67,35,1
70,35,4
235,35,1
26,36,2
33,36,3
51,36,1
68,36,1
212,36,1
26,37,1
29,37,3
65,37,1
91,38,3
133,38,1
144,38,1
148,38,2
224,38,1
53,39,7
55,39,2
16,40,1
70,40,1
82,40,1
39,41,2
76,41,1
183,41,1
12,42,7
17,42,1
33,42,1
34,42,16
75,42,5
92,42,4
23,43,8
25,43,9
28,43,10
33,43,4
35,43,7
40,43,10
44,43,8
45,43,9
46,43,11
48,43,14
55,43,6
59,43,10
63,43,5
72,43,3
73,43,3
74,43,3
84,43,9
86,43,3
88,43,9
92,43,5
95,43,1
96,43,29
103,43,4
111,43,4
129,43,4
