0,1,2
240,136,3
135,140,2
229,218,4
244,147,3
225,83,4
47,212,1
255,251,3
5,74,11
177,218,8
31,42,3
141,163,1
243,192,2
200,64,1
130,129,5
214,131,2
28,49,1
112,123,1
192,217,1
1,176,2
61,47,1
115,83,6
197,84,2
177,178,1
203,225,3
119,113,1
4,10,1
56,48,2
129,46,2
33,42,1
15,97,2
202,3,1
171,116,6
55,21,3
7,2,1
11,173,2
88,1,1
98,1,1
62,23,1
49,22,3
280,43,18
135,134,1
112,214,1
118,203,4
122,201,11
78,189,1
103,43,4
15,1,4
56,58,1
207,100,1
20,76,2
249,43,1
94,66,1
144,192,1
144,92,1
264,43,18
116,83,1
54,34,4
120,121,11
71,92,1
197,198,5
183,171,3
92,77,2
136,167,3
116,185,6
288,43,1
204,201,1
194,0,2
215,224,5
109,5,1
256,117,1
14,18,5
7,213,1
132,218,1
24,189,1
215,171,2
86,118,1
8,102,1
250,43,1
70,35,4
66,223,4
246,247,2
131,11,1
30,76,3
97,201,5
144,112,6
50,43,11
244,196,1
133,27,1
30,34,10
89,26,1
66,7,7
283,186,1
181,187,1
46,213,6
69,63,1
7,102,2
104,8,2
9,141,1
41,118,2
99,100,1
40,46,1
15,116,1
243,198,1
136,129,1
11,174,10
183,193,1
192,0,1
11,170,2
224,38,1
151,43,15
128,117,14
107,2,4
268,43,25
190,237,2
19,209,1
225,3,1
29,58,4
40,47,3
282,198,1
41,217,1
200,12,3
40,42,4
192,209,4
252,152,1
70,20,3
171,1,10
105,74,2
86,3,3
85,155,2
116,162,3
134,112,4
11,177,3
5,42,5
85,188,1
211,72,6
62,11,2
89,6,6
236,43,23
141,43,24
113,12,1
131,211,6
61,19,1
155,188,2
171,266,2
66,105,1
124,11,7
136,253,2
99,12,12
215,2,1
70,42,3
264,274,6
12,33,3
56,60,3
208,5,2
49,46,4
218,196,1
243,43,10
197,111,2
204,85,16
213,86,1
238,20,1
243,201,1
227,122,1
10,11,2
101,103,7
198,226,1
126,95,1
114,123,2
71,213,1
190,140,1
129,209,2
283,270,1
171,83,9
164,226,1
283,276,1
104,105,1
136,83,1
19,1,6
9,123,5
141,0,1
2,196,1
137,112,2
192,113,3
168,270,22
225,124,1
121,113,12
269,268,2
205,158,2
40,45,2
136,84,2
216,189,1
28,34,11
147,192,1
227,197,1
228,122,1
89,217,3
273,43,15
206,3,3
116,151,2
110,5,2
100,85,5
117,151,2
76,34,1
141,115,2
144,140,4
152,166,1
68,87,1
225,194,1
62,92,3
123,113,3
49,2,1
176,252,4
101,112,4
3,167,2
66,62,2
197,102,3
18,45,4
16,43,10
142,123,2
124,252,4
223,11,10
281,199,1
191,156,1
121,123,3
95,96,1
11,175,14
53,21,9
106,190,1
0,128,2
203,1,6
141,190,4
255,176,1
276,248,1
141,101,1
41,171,2
61,18,8
240,0,2
117,166,1
180,233,2
41,85,3
283,243,1
9,207,4
227,201,3
61,2,1
149,141,2
140,143,5
66,128,3
45,78,1
119,84,1
92,11,1
45,43,9
115,99,3
120,19,1
235,76,1
249,203,1
105,32,1
70,39,4
171,167,5
69,12,1
17,13,7
237,232,4
284,43,1
252,96,4
159,43,29
168,233,1
212,205,1
58,38,1
247,1,27
120,30,1
69,4,1
65,68,2
186,220,3
124,117,6
11,164,7
147,146,4
214,202,3
291,43,1
2,188,1
94,240,1
148,198,1
181,274,8
194,96,4
56,50,3
212,36,1
137,121,4
203,188,2
202,7,2
117,160,6
141,107,1
41,28,1
202,1,2
235,88,1
41,172,1
247,189,1
223,113,1
62,82,1
114,137,1
86,43,3
206,251,2
175,43,10
20,74,1
202,232,1
200,85,5
203,204,1
176,182,12
85,190,1
217,74,1
122,97,2
8,23,4
0,11,2
8,6,1
206,43,7
200,124,1
211,1,11
198,141,2
137,113,1
254,256,2
128,113,2
141,129,1
201,186,1
10,13,10
239,22,1
70,93,1
188,43,25
28,29,6
81,72,4
257,176,1
124,266,2
229,196,9
2,153,2
55,43,6
57,49,1
48,43,14
1,174,10
77,189,1
51,36,1
150,43,1
160,161,1
119,101,7
159,199,1
124,136,9
171,85,6
19,72,3
175,248,3
149,201,3
208,63,1
258,136,7
136,3,6
52,77,1
97,206,8
86,51,1
