0,1,2
85,364,1
61,473,1
1143,923,1
20,1125,1
867,712,1
377,478,2
978,1214,1
800,671,2
1,386,1
118,517,1
1128,769,1
578,567,1
1146,725,1
503,198,1
156,493,1
48,462,1
526,253,1
1208,458,1
207,346,1
207,495,1
203,0,1
701,428,1
445,115,1
11,497,1
841,891,1
573,1214,1
437,130,1
1120,1143,1
633,627,1
27,585,1
482,122,2
1196,934,1
230,384,1
525,283,2
436,346,1
544,272,1
366,122,1
1014,769,1
83,95,1
192,386,1
201,428,1
670,1007,1
958,317,1
958,942,1
577,418,1
989,652,1
190,428,1
271,71,1
497,712,1
1084,865,1
565,308,1
1128,982,1
1045,624,1
544,154,1
170,585,1
700,498,2
1089,610,1
483,118,1
521,138,1
767,656,2
338,100,1
48,346,1
465,1007,1
377,108,1
47,486,2
640,1087,1
514,556,1
185,369,1
216,126,1
1109,792,1
788,769,1
821,807,1
646,1201,1
1214,737,1
1177,976,1
1116,601,2
165,100,1
389,923,1
412,25,1
437,497,1
87,371,1
550,64,1
637,1214,1
359,314,1
233,360,1
8,843,1
503,1108,1
137,442,1
345,47,1
866,639,1
842,707,1
646,374,1
390,446,1
780,1007,1
513,192,1
1008,658,1
1129,1078,1
461,340,1
849,776,1
1198,644,1
673,662,2
437,1160,1
475,386,1
508,253,1
322,225,1
118,59,1
248,817,1
477,43,1
889,756,1
1030,615,1
402,317,1
59,253,1
993,693,1
448,451,1
728,693,1
118,16,2
1083,1007,1
481,556,1
250,404,1
301,439,1
982,974,1
282,47,1
715,343,1
527,126,1
193,20,1
232,381,1
1051,198,1
640,947,1
607,921,1
163,47,2
346,441,1
405,990,1
1034,648,1
140,126,2
544,353,1
646,1069,1
555,96,1
446,497,1
982,624,1
399,500,1
198,146,1
154,506,1
322,260,1
765,767,1
803,1069,1
1045,929,1
301,572,1
891,1171,2
314,348,1
1169,83,1
362,418,1
340,314,2
170,1031,1
359,126,1
738,693,1
1006,988,2
481,443,1
831,1097,2
1213,839,2
1018,693,1
133,197,1
629,1201,1
301,372,1
920,839,1
1126,769,1
103,59,1
796,947,1
1200,1161,1
11,740,1
204,478,1
607,763,1
958,1213,1
757,883,2
1035,778,1
673,1168,2
695,698,1
1084,1080,1
205,126,1
945,1179,1
808,982,1
894,1080,1
799,958,1
220,493,1
19,449,1
1165,673,2
836,20,1
150,1007,1
842,1134,1
671,1105,1
192,524,2
918,798,1
301,536,1
448,384,1
364,283,1
584,13,1
177,365,2
224,126,1
590,891,1
1101,777,2
127,31,1
1173,674,1
915,785,1
799,898,1
1016,145,1
1172,839,1
471,13,1
1019,849,1
517,567,1
695,1143,1
692,769,1
12,427,1
590,870,1
87,68,1
525,161,1
390,100,1
1101,837,1
444,138,1
366,96,1
307,583,1
932,878,1
474,237,1
359,225,1
731,672,1
426,496,1
1101,923,1
933,839,1
923,126,1
1076,122,2
911,605,1
42,283,1
271,495,1
768,1200,1
1154,672,1
377,61,2
358,388,1
983,817,1
163,372,2
469,517,1
118,473,1
85,577,1
743,693,1
822,1007,1
616,968,1
566,565,1
544,214,1
744,100,2
1128,1080,1
36,83,1
6,119,1
501,462,1
670,973,1
192,122,1
932,773,1
285,126,1
886,769,1
841,1154,2
763,1037,1
1168,839,1
989,700,1
521,404,1
1095,843,1
358,166,2
1169,59,1
583,233,1
779,1179,1
112,146,1
355,122,1
283,125,1
399,108,1
1027,1017,1
471,441,1
678,883,2
631,126,1
232,656,1
945,656,2
521,21,1
461,428,2
945,1060,1
751,138,1
885,1144,1
981,831,1
321,138,1
1065,640,1
599,1037,2
1178,422,1
982,790,1
96,418,1
449,428,2
1213,1144,2
225,386,1
923,1186,2
1089,1076,1
