0,1,2
952,1214,1
101,497,1
611,754,2
494,253,1
1035,714,2
1110,865,1
180,20,1
369,521,1
327,154,2
92,449,1
830,839,2
440,351,1
412,31,1
537,450,1
163,86,1
1106,878,1
1191,738,1
599,749,1
695,989,1
1076,359,1
166,125,1
1172,632,1
828,198,1
989,1080,1
1065,640,1
743,698,1
27,849,1
114,122,1
358,346,1
422,567,1
407,517,1
1155,769,1
885,100,1
94,253,1
212,536,1
269,138,1
85,839,1
131,817,1
218,126,1
851,1185,2
341,493,1
96,418,1
457,187,1
362,360,1
1108,1007,1
795,1214,1
366,59,1
994,673,2
178,340,1
640,698,1
1150,730,1
673,949,1
1008,404,1
583,506,1
428,451,1
267,567,1
474,253,1
1169,498,1
664,959,2
695,646,1
1128,947,1
694,1031,1
20,146,1
94,497,1
1078,376,1
203,140,1
1078,923,1
883,834,1
812,929,1
104,567,1
800,708,2
701,595,1
163,177,1
1129,854,1
886,625,1
763,1169,1
1151,720,1
612,620,1
1069,1201,1
401,138,1
255,225,1
519,496,1
578,428,1
156,376,1
27,565,2
595,620,1
736,100,1
671,1161,1
958,648,1
715,1078,1
581,96,1
616,1214,1
508,233,1
1120,713,1
772,1201,1
103,386,1
412,1037,1
190,83,1
581,441,1
383,441,1
405,1007,1
283,291,1
933,1201,1
165,71,1
128,340,1
828,1008,2
136,577,1
996,913,1
719,839,1
842,1154,1
767,852,1
790,1007,2
163,380,1
908,5,1
301,157,1
471,359,2
1044,919,1
931,898,1
439,428,1
981,919,1
412,99,1
298,59,1
318,837,1
872,923,1
461,253,1
719,374,1
120,197,1
12,53,1
1169,1186,1
1183,769,1
958,1179,1
872,1031,1
886,656,1
1154,839,1
625,923,1
177,253,1
990,1161,1
969,784,2
612,1126,1
674,1169,1
428,583,2
419,327,1
462,498,2
1154,1055,1
851,915,1
508,47,1
640,752,1
1164,903,1
1129,772,1
134,305,1
785,945,2
291,441,1
1088,672,1
1073,1016,1
272,442,1
1008,648,1
839,752,1
801,20,1
496,138,2
593,700,1
1110,831,1
156,500,1
637,693,1
418,237,1
7,360,1
13,237,1
178,462,1
902,1161,1
18,152,1
883,740,1
439,122,1
112,59,1
598,1080,1
700,498,2
891,816,2
118,92,2
1051,404,1
1190,798,1
607,899,1
772,1096,1
27,233,1
42,446,1
768,922,1
458,429,1
153,35,1
358,205,1
508,253,1
1216,773,1
13,585,1
146,269,2
412,359,1
763,1200,1
581,384,1
15,453,2
748,693,1
301,473,1
255,237,1
443,380,2
996,345,1
386,441,1
575,126,1
673,662,2
656,784,2
369,346,1
178,471,1
32,567,1
471,947,1
1169,947,1
728,673,1
821,1012,1
402,243,1
56,792,1
363,154,1
981,645,2
1101,923,1
673,637,1
1030,852,1
701,119,1
1013,782,1
1107,1037,1
1084,976,1
126,441,2
60,585,1
329,381,1
1154,1163,2
207,346,1
673,697,2
443,269,2
938,741,1
345,126,1
5,217,2
6,497,1
860,1037,1
1069,608,1
1152,749,1
1145,601,2
785,790,1
601,605,1
638,776,1
1110,371,1
795,1119,1
525,126,1
972,1060,1
365,154,1
840,1188,1
911,841,1
1051,934,1
915,976,1
1206,923,1
591,601,2
366,473,1
708,1031,1
876,607,2
967,585,1
593,473,1
1061,1179,1
673,878,1
662,1031,1
932,773,1
888,1198,1
1097,716,1
358,136,2
1126,849,1
481,59,1
836,592,2
163,154,1
1054,1037,1
207,5,2
1216,1031,1
301,577,1
443,47,2
599,1201,1
322,20,1
1117,769,1
1043,126,1
73,96,1
489,159,1
795,831,1
984,656,1
52,138,1
445,372,1
601,749,1
127,126,1
322,19,1
92,585,1
646,1214,1
61,207,2
1210,674,1
658,997,1
517,442,1
321,497,1
888,620,1
1200,769,1
481,412,2
888,1049,1
795,923,1
721,1087,1
937,663,1
437,340,1
777,673,2
708,769,1
842,759,1
372,577,1
13,567,2
795,1053,1
402,126,1
700,590,2
945,932,1
358,460,1
352,340,1
1165,997,1
32,783,1
526,446,2
618,891,1
537,177,1
790,1011,2
741,997,1
41,427,1
475,409,1
147,126,1
599,1136,1
760,988,1
402,506,1
190,317,1
1172,648,1
266,61,1
795,1198,1
933,989,1
938,798,1
1084,1214,2
83,500,2
800,1210,2
990,640,2
301,31,1
1131,947,1
1144,749,2
283,197,1
478,585,1
402,317,1
900,839,1
150,76,2
457,163,2
327,493,1
537,71,1
438,577,1
419,233,1
338,119,1
784,1204,1
1222,1179,1
85,567,1
1172,1200,1
1140,648,1
472,404,1
304,1087,1
774,680,1
673,1164,2
743,1031,1
287,346,1
865,839,1
437,154,1
711,620,1
1079,700,1
969,1012,1
100,1011,2
1129,767,1
217,105,1
83,31,1
113,61,1
891,1171,2
232,656,1
914,1060,1
891,852,1
423,195,1
831,674,2
449,536,1
375,418,1
1151,650,1
1047,769,1
402,565,1
471,163,2
640,898,1
695,1084,1
990,1087,1
27,83,1
146,462,2
422,839,2
239,497,1
810,1101,1
659,376,1
402,52,1
168,67,1
849,1031,1
61,486,1
924,800,1
730,603,2
1138,592,1
673,1086,1
736,47,1
573,356,1
445,253,1
1000,1055,1
674,632,1
408,497,1
691,769,1
528,976,1
127,364,1
100,1087,1
945,347,1
719,997,1
1114,942,1
1151,823,1
718,889,1
445,266,1
222,130,1
118,76,2
610,700,1
695,791,1
743,1007,1
875,923,1
635,648,1
760,1200,1
646,1179,1
831,776,1
572,376,1
170,567,1
603,1186,1
498,384,2
272,407,1
491,536,1
147,372,2
204,358,1
406,71,1
607,749,1
443,360,1
885,215,1
889,1183,1
896,769,1
1136,590,1
147,418,1
526,498,2
471,86,1
1172,740,1
437,374,1
1129,893,1
1155,831,1
92,486,1
358,340,1
1110,839,1
746,769,1
402,36,1
48,526,1
982,1178,1
883,1115,1
960,769,1
156,308,1
1031,347,1
1154,883,1
158,417,1
831,1214,1
127,500,1
292,117,1
598,680,1
458,769,1
481,185,1
36,83,1
156,1179,1
847,1161,1
96,484,1
27,505,1
889,1200,1
715,784,2
902,1201,1
412,497,1
517,237,1
774,713,1
150,136,2
1129,931,1
1200,376,1
1149,843,1
977,749,1
226,35,1
203,253,1
163,308,1
327,233,1
981,1175,1
799,752,1
373,119,1
883,1096,1
340,126,2
1136,567,1
716,976,1
1157,1080,1
568,334,2
861,1053,1
1014,1007,1
552,138,1
744,839,2
939,923,1
207,384,1
365,541,1
154,451,1
330,573,2
422,233,1
1162,831,1
11,237,1
42,357,1
701,700,1
673,1074,1
650,673,2
754,891,1
61,346,1
1063,764,1
340,317,1
664,1012,1
145,68,1
1218,720,1
87,68,1
770,923,1
1129,825,2
1089,607,1
726,1060,1
1214,249,1
112,585,1
822,632,1
1118,601,2
1079,1108,1
909,1012,1
800,839,1
226,253,1
779,1060,1
908,92,1
1201,1007,1
743,843,1
1153,856,1
36,207,2
751,769,1
83,146,1
623,138,1
883,964,1
675,381,1
192,498,1
176,442,1
83,505,1
1167,1055,1
696,620,1
373,185,1
601,917,1
590,849,1
42,317,1
945,837,1
94,527,1
695,1019,1
1145,1032,1
958,740,1
283,441,1
907,792,1
715,749,1
629,646,1
109,620,1
701,521,1
1162,1213,1
673,688,1
989,1060,1
867,1007,1
1144,610,1
599,469,2
1079,1051,1
