0,1,2
675,1018,2
276,949,10
2,71,8
18,985,32
734,1574,13
371,597,1
480,516,4
367,370,3
38,399,1
61,333,2
712,778,3
575,1487,2
678,961,3
11,752,1
322,1234,1
366,367,3
5,480,16
699,821,4
1049,1166,1
26,969,1
1282,1339,1
1012,1700,1
37,385,2
392,833,12
614,1578,2
100,769,3
1521,1597,2
594,1525,3
126,232,2
421,1040,5
31,459,1
62,1109,2
371,877,2
40,472,3
8,1278,2
1254,1333,2
40,1214,2
203,1380,1
407,767,1
436,1096,2
0,311,89
605,1361,2
7,519,3
100,898,1
544,1327,5
1051,1623,28
295,974,2
282,1555,4
599,822,2
738,1112,1
732,963,2
581,1211,1
41,478,1
43,140,2
1183,1549,1
371,931,1
248,1644,1
1401,1618,3
550,991,1
397,770,9
914,985,1
248,524,8
710,1622,11
8,1650,1
8,52,2
11,66,2
55,344,3
341,1267,9
393,421,8
913,1235,1
251,1313,2
637,1092,4
66,534,1
248,1643,28
391,949,2
305,554,4
213,563,1
0,43,9
625,737,13
47,752,21
436,1157,3
192,1508,1
388,949,13
1226,1236,2
211,695,1
51,399,3
870,1349,5
102,1328,1
814,949,7
360,462,3
497,1292,1
321,1597,2
1077,1078,3
223,399,13
5,397,4
96,713,1
213,474,10
232,731,2
49,376,1
96,307,2
678,816,3
50,529,1
1259,1282,2
680,1117,24
104,560,23
399,843,1
41,1476,2
98,912,1
969,1512,2
281,673,1
160,1254,2
276,1235,2
1519,1658,1
47,620,12
332,1226,2
293,579,1
1507,1579,2
1339,1477,1
508,1254,8
336,1647,3
244,308,2
37,80,1
248,1303,9
52,1271,1
102,189,1
62,173,15
72,251,4
814,938,2
322,752,32
19,20,2
52,833,10
616,1877,1
40,1017,6
430,974,2
134,399,1
572,1435,5
968,1666,4
768,1235,1
40,104,1
605,820,1
55,102,2
26,41,5
102,113,9
428,545,1
508,697,1
102,451,1
1278,1280,1
1189,1579,1
439,561,1
192,393,1
49,1189,8
455,1541,11
442,1408,3
508,839,2
474,677,4
33,767,4
421,696,5
35,1280,1
787,1712,2
1339,1623,1
0,145,10
338,462,8
104,127,2
453,481,4
653,1252,1
1194,1712,3
531,637,1
1051,1858,8
193,914,1
340,1137,11
213,858,3
461,1254,22
104,1121,1
40,438,1
173,334,5
637,1184,1
399,471,1
180,322,4
8,1187,1
870,925,1
104,637,4
1041,1254,10
102,733,16
360,787,1
219,282,1
808,1448,2
288,696,1
519,1623,4
718,757,1
174,468,1
1579,1585,2
341,839,1
575,842,1
969,1640,16
210,287,5
451,480,1
66,235,1
8,1401,5
78,259,3
418,999,1
829,951,2
238,262,2
371,460,2
363,938,2
912,1161,1
1664,1668,1
615,738,1
41,473,17
385,421,11
430,1747,8
462,1740,1
531,1235,6
102,1307,1
301,1032,1
672,1556,2
1331,1341,5
41,104,4
211,677,14
731,927,3
31,193,3
395,1112,3
142,162,3
543,1268,7
327,581,1
31,176,15
307,848,1
66,1780,3
71,320,5
455,1245,3
171,343,2
94,364,7
37,712,1
213,867,1
131,262,5
171,839,4
794,1024,2
41,1557,1
259,593,1
1179,1392,5
31,442,5
248,927,1
89,1071,1
18,301,5
82,535,3
68,307,2
175,822,1
1551,1552,4
324,558,1
313,338,1
175,323,1
322,513,1
515,1723,2
604,769,8
626,647,1
43,78,5
651,1015,1
193,1050,1
371,1376,1
501,969,3
846,1386,2
144,253,2
28,637,1
5,377,21
192,392,11
5,276,1
1435,1734,1
94,560,53
851,1520,1
698,1835,2
68,726,2
870,1020,1
50,301,2
307,1067,2
108,1542,2
305,591,2
253,653,8
276,793,3
131,193,2
324,951,1
243,1782,2
371,797,1
1542,1878,3
334,421,1
597,686,5
